post_id,timestamp,pillar,account,format,hook_used,status,views,saves,comments,shares,paid_spend,paid_candidate,notes
LG-EDU-007-BEFO,2026-08-19 01:54,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-007
LG-EDU-007-CAPT,2026-08-19 01:54,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-007
LG-EDU-008-TALK,2026-08-19 01:54,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-008
LG-EDU-008-CARO,2026-08-19 01:54,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-008
LG-EDU-008-BEFO,2026-08-19 01:54,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-008
LG-EDU-008-CAPT,2026-08-19 01:54,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-008
MAS-NAR-006-TALK,2026-08-19 01:54,maserati_narrative,needmoney4maserati,talking_clip,Here's why why 0.3s mobile speed puts rands in the maserati fund is bringing me one step closer to the Maserati.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from MAS-NAR-006
MAS-NAR-006-CARO,2026-08-19 01:54,maserati_narrative,needmoney4maserati,carousel,Here's why why 0.3s mobile speed puts rands in the maserati fund is bringing me one step closer to the Maserati.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from MAS-NAR-006
MAS-NAR-006-BEFO,2026-08-19 01:54,maserati_narrative,needmoney4maserati,before_after,Here's why why 0.3s mobile speed puts rands in the maserati fund is bringing me one step closer to the Maserati.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from MAS-NAR-006
MAS-NAR-006-CAPT,2026-08-19 01:54,maserati_narrative,needmoney4maserati,caption_only,Here's why why 0.3s mobile speed puts rands in the maserati fund is bringing me one step closer to the Maserati.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from MAS-NAR-006
LG-EDU-009-TALK,2026-08-19 02:31,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-009
LG-EDU-009-CARO,2026-08-19 02:31,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-009
LG-EDU-009-BEFO,2026-08-19 02:31,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-009
LG-EDU-009-CAPT,2026-08-19 02:31,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-009
LG-EDU-010-TALK,2026-08-19 02:43,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-010
LG-EDU-010-CARO,2026-08-19 02:43,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-010
LG-EDU-010-BEFO,2026-08-19 02:43,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-010
LG-EDU-010-CAPT,2026-08-19 02:43,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-010
LG-EDU-011-TALK,2026-08-19 02:55,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-011
LG-EDU-011-CARO,2026-08-19 02:55,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-011
LG-EDU-011-BEFO,2026-08-19 02:55,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-011
LG-EDU-011-CAPT,2026-08-19 02:55,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-011
LG-EDU-012-TALK,2026-08-19 03:11,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-012
LG-EDU-012-CARO,2026-08-19 03:11,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-012
LG-EDU-012-BEFO,2026-08-19 03:11,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-012
LG-EDU-012-CAPT,2026-08-19 03:11,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-012
LG-EDU-014-TALK,2026-08-19 03:12,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-014
LG-EDU-014-CARO,2026-08-19 03:12,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-014
LG-EDU-014-BEFO,2026-08-19 03:12,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-014
LG-EDU-014-CAPT,2026-08-19 03:12,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-014
LG-EDU-016-TALK,2026-08-19 03:26,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-016
LG-EDU-016-CARO,2026-08-19 03:26,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-016
LG-EDU-016-BEFO,2026-08-19 03:26,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-016
LG-EDU-016-CAPT,2026-08-19 03:26,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-016
LG-EDU-018-TALK,2026-08-19 03:39,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-018
LG-EDU-018-CARO,2026-08-19 03:39,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-018
LG-EDU-018-BEFO,2026-08-19 03:39,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-018
LG-EDU-018-CAPT,2026-08-19 03:39,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-018
LG-EDU-020-TALK,2026-08-19 04:23,educational,launchgremlin,talking_clip,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-020
LG-EDU-020-CARO,2026-08-19 04:23,educational,launchgremlin,carousel,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-020
LG-EDU-020-BEFO,2026-08-19 04:23,educational,launchgremlin,before_after,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-020
LG-EDU-020-CAPT,2026-08-19 04:23,educational,launchgremlin,caption_only,90% of SA small business websites make this exact mistake — here's the 5-minute fix.,PENDING_REVIEW,0,0,0,0,R0,NO,Auto-generated from LG-EDU-020
